Keyword,TodayCount,YesterdayCount,Difference,ChangeType
람보르기니,0.0,1,-1.0,DISAPPEARED
러버,0.0,1,-1.0,DISAPPEARED
레시피,0.0,4,-4.0,DISAPPEARED
레저,0.0,1,-1.0,DISAPPEARED
레전드,0.0,1,-1.0,DISAPPEARED
로그,0.0,10,-10.0,DISAPPEARED
로드,0.0,1,-1.0,DISAPPEARED
로버트,0.0,1,-1.0,DISAPPEARED
로컬,0.0,1,-1.0,DISAPPEARED
록담,0.0,1,-1.0,DISAPPEARED
롤모델,0.0,1,-1.0,DISAPPEARED
롬앤,0.0,1,-1.0,DISAPPEARED
롯데,0.0,1,-1.0,DISAPPEARED
롯데리아,0.0,1,-1.0,DISAPPEARED
롯폰기,0.0,1,-1.0,DISAPPEARED
류진,0.0,1,-1.0,DISAPPEARED
리사이틀,0.0,3,-3.0,DISAPPEARED
리얼,0.0,1,-1.0,DISAPPEARED
리지,0.0,1,-1.0,DISAPPEARED
마고,0.0,1,-1.0,DISAPPEARED
마루,0.0,1,-1.0,DISAPPEARED
마셰코,0.0,1,-1.0,DISAPPEARED
마음,0.0,1,-1.0,DISAPPEARED
마이,0.0,1,-1.0,DISAPPEARED
마인크래프트,0.0,1,-1.0,DISAPPEARED
마중,0.0,1,-1.0,DISAPPEARED
마지막,0.0,1,-1.0,DISAPPEARED
막내,0.0,1,-1.0,DISAPPEARED
만난,0.0,2,-2.0,DISAPPEARED
만날,0.0,1,-1.0,DISAPPEARED
만남,0.0,1,-1.0,DISAPPEARED
만두,0.0,1,-1.0,DISAPPEARED
만들기,0.0,3,-3.0,DISAPPEARED
만삭,0.0,1,-1.0,DISAPPEARED
말빨,0.0,1,-1.0,DISAPPEARED
말함,0.0,1,-1.0,DISAPPEARED
맛집,0.0,4,-4.0,DISAPPEARED
매일,0.0,1,-1.0,DISAPPEARED
맥주,0.0,1,-1.0,DISAPPEARED
머리,0.0,1,-1.0,DISAPPEARED
먹방,0.0,4,-4.0,DISAPPEARED
멋대로,0.0,2,-2.0,DISAPPEARED
메드,0.0,1,-1.0,DISAPPEARED
메시지,0.0,1,-1.0,DISAPPEARED
메이,0.0,1,-1.0,DISAPPEARED
메이드,0.0,1,-1.0,DISAPPEARED
메이크업,0.0,1,-1.0,DISAPPEARED
멘붕,0.0,1,-1.0,DISAPPEARED
명인,0.0,1,-1.0,DISAPPEARED
모델,0.0,1,-1.0,DISAPPEARED
모두,0.0,1,-1.0,DISAPPEARED
모든,0.0,1,-1.0,DISAPPEARED
모먼트,0.0,1,-1.0,DISAPPEARED
모임,0.0,1,-1.0,DISAPPEARED
모자,0.0,1,-1.0,DISAPPEARED
무대,0.0,2,-2.0,DISAPPEARED
