video_id,title,channel,category,published_at,views,likes,comments,fetched_at
oRM-5N3sQlA,송은이의 형부가 될지도 모르는 황동주와 한 차로 가🚘｜EP.45,VIVO TV - 비보티비,Comedy,2025-03-18T11:01:13Z,471713,11397,1310,2025-03-19 15:42:17.599765
Vj77kwKFKqk,"가비 찰스엔터 ""왜샀나?"" 청문회",유병재,Comedy,2025-03-17T08:00:24Z,837775,13698,540,2025-03-19 15:42:17.599765
EvmrKG-KnoQ,"국대 시간별 소집기 (feat. 손흥민, ""승호야, 같은 비행기 타고 왔는데 생일인 줄 몰랐다"") | 월드컵 3차 예선 EP.23",KFATV 대한민국 축구 국가대표팀,Sports,2025-03-18T02:20:04Z,524794,7777,1381,2025-03-19 15:42:17.599765
z-xfGoabprU,STAYC(스테이씨) 'BEBE' MV,STAYC,Music,2025-03-18T09:00:04Z,2642398,109857,8338,2025-03-19 15:42:17.599765
aFrQIJ5cbRc,NMIXX(엔믹스) “KNOW ABOUT ME” M/V,JYP Entertainment,Music,2025-03-17T09:00:02Z,10865885,218115,14765,2025-03-19 15:42:17.599765
adF9lGbgPOo,장모님.. 김치 담그는데 딸 말고 왜 자꾸 저를 찾으세요?(ft. 저도 저희집에선 귀한 아들),미자네 주막,Entertainment,2025-03-18T11:00:06Z,307333,12824,515,2025-03-19 15:42:17.599765
tkTQ24Zyl9s,역사를 쓰고 돌아온 안세영! 갓난아기까지 공항에 마중을..?,SBS Sports,Sports,2025-03-18T12:34:35Z,470458,3383,323,2025-03-19 15:42:17.599765
P6mb2xPfeb4,"""저흰 사람 웃길 때 절대 웃지 않아요"" ㅋㅋㅋㅋㅋ ㅠ ㅇ ㅏ 너네 미친 고 가탴ㅋㅋㅋㅠ!!!!!",요정재형,Entertainment,2025-03-16T08:00:01Z,1028684,14415,847,2025-03-19 15:42:17.599765
o7mx1j6AK0Q,"STAYC(스테이씨)의 킬링보이스를 라이브로! - ASAP, Teddy Bear, Poppy, RUN2U, 색안경, SO WHAT  | 딩고뮤직 | Dingo Music",딩고 뮤직 / dingo music,Music,2025-03-18T10:00:08Z,315289,24616,1728,2025-03-19 15:42:17.599765
36OnVala8ag,이찬원 '세월 베고 길게 누운 구름 한 조각' Live Clip [2024 이찬원 콘서트 '찬가'],이찬원,Music,2025-03-17T09:00:04Z,185046,14311,1468,2025-03-19 15:42:17.599765
uancR6aiw-c,[EN/JP] 비명만 지르다 끝난 급식 만들기 | 지멋대로 식탁 EP.05,M드로메다 스튜디오,Entertainment,2025-03-18T09:01:09Z,135006,5801,297,2025-03-19 15:42:17.599765
OCy1kIQSvN0,"임영웅 리사이틀 [RE:CITAL] Behind Ep3. 촌스러운 나, 마음에 들어요😋 오늘의 DJ 웅 등장이오~🕺",임영웅,People & Blogs,2025-03-16T09:16:00Z,351711,46769,5009,2025-03-19 15:42:17.599765
