Keyword,OldCount,NewCount,Difference,ChangeType,AbsDiff
충격,1,1,0,NO_CHANGE,0
캐디,1,1,0,NO_CHANGE,0
칼라,1,1,0,NO_CHANGE,0
카츠,1,1,0,NO_CHANGE,0
카메라,1,1,0,NO_CHANGE,0
취한,1,1,0,NO_CHANGE,0
치즈,1,1,0,NO_CHANGE,0
채널,1,1,0,NO_CHANGE,0
참기름,1,1,0,NO_CHANGE,0
찵여오너,1,1,0,NO_CHANGE,0
처리기,1,1,0,NO_CHANGE,0
첫사랑,1,1,0,NO_CHANGE,0
찬영,1,1,0,NO_CHANGE,0
찰승헌,1,1,0,NO_CHANGE,0
찰스,1,1,0,NO_CHANGE,0
천재,1,1,0,NO_CHANGE,0
천국,1,1,0,NO_CHANGE,0
철학,1,1,0,NO_CHANGE,0
처음,3,3,0,NO_CHANGE,0
차로,2,2,0,NO_CHANGE,0
차석,1,1,0,NO_CHANGE,0
찬가,1,1,0,NO_CHANGE,0
차이,1,1,0,NO_CHANGE,0
최애,1,1,0,NO_CHANGE,0
최시훈,1,1,0,NO_CHANGE,0
최고,2,2,0,NO_CHANGE,0
초소,1,1,0,NO_CHANGE,0
초초,1,1,0,NO_CHANGE,0
초보,1,1,0,NO_CHANGE,0
초반,1,1,0,NO_CHANGE,0
최강,1,1,0,NO_CHANGE,0
촬영장,1,1,0,NO_CHANGE,0
초특,1,1,0,NO_CHANGE,0
첫인상,1,1,0,NO_CHANGE,0
체험,1,1,0,NO_CHANGE,0
초대,2,2,0,NO_CHANGE,0
체리,1,1,0,NO_CHANGE,0
체력,1,1,0,NO_CHANGE,0
초대형,2,2,0,NO_CHANGE,0
초대장,1,1,0,NO_CHANGE,0
청춘,1,1,0,NO_CHANGE,0
청년,1,1,0,NO_CHANGE,0
청문회,1,1,0,NO_CHANGE,0
슬기,1,1,0,NO_CHANGE,0
데프콘,1,1,0,NO_CHANGE,0
도넛,1,1,0,NO_CHANGE,0
도시락,1,1,0,NO_CHANGE,0
도어,1,1,0,NO_CHANGE,0
도매,1,1,0,NO_CHANGE,0
대학,1,1,0,NO_CHANGE,0
대화,2,2,0,NO_CHANGE,0
대한민국,1,1,0,NO_CHANGE,0
대회,1,1,0,NO_CHANGE,0
데뷔,1,1,0,NO_CHANGE,0
더니,1,1,0,NO_CHANGE,0
동안,1,1,0,NO_CHANGE,0
동생,1,1,0,NO_CHANGE,0
동물,1,1,0,NO_CHANGE,0
독침,1,1,0,NO_CHANGE,0
돈까스,1,1,0,NO_CHANGE,0
동갑,1,1,0,NO_CHANGE,0
동네,1,1,0,NO_CHANGE,0
동묘,3,3,0,NO_CHANGE,0
독서,1,1,0,NO_CHANGE,0
독수리,1,1,0,NO_CHANGE,0
도쿄,1,1,0,NO_CHANGE,0
도착,1,1,0,NO_CHANGE,0
독일,1,1,0,NO_CHANGE,0
독자,1,1,0,NO_CHANGE,0
도전,2,2,0,NO_CHANGE,0
다이닝,1,1,0,NO_CHANGE,0
다이브,1,1,0,NO_CHANGE,0
다운,1,1,0,NO_CHANGE,0
다홍,1,1,0,NO_CHANGE,0
닥터,1,1,0,NO_CHANGE,0
다이어트,1,1,0,NO_CHANGE,0
다비치,1,1,0,NO_CHANGE,0
달달,1,1,0,NO_CHANGE,0
달라,2,2,0,NO_CHANGE,0
담당자,1,1,0,NO_CHANGE,0
단계,1,1,0,NO_CHANGE,0
넥스트,1,1,0,NO_CHANGE,0
넷플릭스,1,1,0,NO_CHANGE,0
노동,1,1,0,NO_CHANGE,0
눈앞,1,1,0,NO_CHANGE,0
눕프핵,1,1,0,NO_CHANGE,0
눈물,1,1,0,NO_CHANGE,0
노화,1,1,0,NO_CHANGE,0
누구,1,1,0,NO_CHANGE,0
녹음실,1,1,0,NO_CHANGE,0
누운,1,1,0,NO_CHANGE,0
노트북,1,1,0,NO_CHANGE,0
누룽지,1,1,0,NO_CHANGE,0
대망,1,1,0,NO_CHANGE,0
대신,1,1,0,NO_CHANGE,0
대박,1,1,0,NO_CHANGE,0
대기업,1,1,0,NO_CHANGE,0
대장정,1,1,0,NO_CHANGE,0
대전,1,1,0,NO_CHANGE,0
대응,1,1,0,NO_CHANGE,0
대접,1,1,0,NO_CHANGE,0
대창,1,1,0,NO_CHANGE,0
대치동,1,1,0,NO_CHANGE,0
당장,1,1,0,NO_CHANGE,0
대결,1,1,0,NO_CHANGE,0
대가족,1,1,0,NO_CHANGE,0
당황,1,1,0,NO_CHANGE,0
대국,1,1,0,NO_CHANGE,0
리얼,1,1,0,NO_CHANGE,0
리지,1,1,0,NO_CHANGE,0
리사이틀,3,3,0,NO_CHANGE,0
리뷰,2,2,0,NO_CHANGE,0
류진,1,1,0,NO_CHANGE,0
마냥,1,1,0,NO_CHANGE,0
마셰코,1,1,0,NO_CHANGE,0
마루,1,1,0,NO_CHANGE,0
마고,1,1,0,NO_CHANGE,0
루랑둥,1,1,0,NO_CHANGE,0
마지막,1,1,0,NO_CHANGE,0
마음,1,1,0,NO_CHANGE,0
마이,1,1,0,NO_CHANGE,0
마인크래프트,1,1,0,NO_CHANGE,0
마중,1,1,0,NO_CHANGE,0
롤모델,1,1,0,NO_CHANGE,0
롯폰기,1,1,0,NO_CHANGE,0
롯데리아,1,1,0,NO_CHANGE,0
롯데,1,1,0,NO_CHANGE,0
롬앤,1,1,0,NO_CHANGE,0
둘이서,1,1,0,NO_CHANGE,0
만전,1,1,0,NO_CHANGE,0
만찬,2,2,0,NO_CHANGE,0
만두,1,1,0,NO_CHANGE,0
만삭,1,1,0,NO_CHANGE,0
말빨,1,1,0,NO_CHANGE,0
매일,1,1,0,NO_CHANGE,0
말함,1,1,0,NO_CHANGE,0
마침내,1,1,0,NO_CHANGE,0
막내,1,1,0,NO_CHANGE,0
만난,2,2,0,NO_CHANGE,0
만남,1,1,0,NO_CHANGE,0
만능,1,1,0,NO_CHANGE,0
만날,1,1,0,NO_CHANGE,0
등장,1,1,0,NO_CHANGE,0
등원,2,2,0,NO_CHANGE,0
등촌,1,1,0,NO_CHANGE,0
딩고,1,1,0,NO_CHANGE,0
디스,1,1,0,NO_CHANGE,0
드립,1,1,0,NO_CHANGE,0
들기름,1,1,0,NO_CHANGE,0
둥이,1,1,0,NO_CHANGE,0
드레스,1,1,0,NO_CHANGE,0
레이브,1,1,0,NO_CHANGE,0
레저,1,1,0,NO_CHANGE,0
레전드,1,1,0,NO_CHANGE,0
로드,1,1,0,NO_CHANGE,0
로버트,1,1,0,NO_CHANGE,0
로컬,1,1,0,NO_CHANGE,0
록담,1,1,0,NO_CHANGE,0
뚜껑,1,1,0,NO_CHANGE,0
뜨개질,1,1,0,NO_CHANGE,0
떡볶이,1,1,0,NO_CHANGE,0
라이딩,1,1,0,NO_CHANGE,0
라면,1,1,0,NO_CHANGE,0
떡값,1,1,0,NO_CHANGE,0
때문,1,1,0,NO_CHANGE,0
란제리,1,1,0,NO_CHANGE,0
람보르기니,1,1,0,NO_CHANGE,0
라잌,1,1,0,NO_CHANGE,0
레시피,4,4,0,NO_CHANGE,0
러버,1,1,0,NO_CHANGE,0
개그맨,1,1,0,NO_CHANGE,0
거부,1,1,0,NO_CHANGE,0
개발자,1,1,0,NO_CHANGE,0
개월,1,1,0,NO_CHANGE,0
개선,1,1,0,NO_CHANGE,0
갱신,1,1,0,NO_CHANGE,0
갤럭시,1,1,0,NO_CHANGE,0
감성돔,1,1,0,NO_CHANGE,0
감상,1,1,0,NO_CHANGE,0
감독,1,1,0,NO_CHANGE,0
강아지,1,1,0,NO_CHANGE,0
강화,1,1,0,NO_CHANGE,0
강사,1,1,0,NO_CHANGE,0
갓난아기,1,1,0,NO_CHANGE,0
감스트,1,1,0,NO_CHANGE,0
감염,1,1,0,NO_CHANGE,0
갑자기,1,1,0,NO_CHANGE,0
고민,1,1,0,NO_CHANGE,0
결승전,1,1,0,NO_CHANGE,0
결혼식,1,1,0,NO_CHANGE,0
계란,1,1,0,NO_CHANGE,0
계약,1,1,0,NO_CHANGE,0
고려,1,1,0,NO_CHANGE,0
고래,1,1,0,NO_CHANGE,0
게스트,1,1,0,NO_CHANGE,0
걸스,1,1,0,NO_CHANGE,0
거짓,1,1,0,NO_CHANGE,0
겁쟁이,1,1,0,NO_CHANGE,0
검사,1,1,0,NO_CHANGE,0
결과,1,1,0,NO_CHANGE,0
겨울잠,1,1,0,NO_CHANGE,0
